Berlandiera subacaulis (Nutt.) Nutt.;1661274674000;89
Berlandiera subacaulis (Nutt.) Nutt.;1661274674000;102
Lobelia appendiculata A. DC.;1665193715000;167
Abies balsamea (L.) Mill. var. phanerolepis Fernald;1666111450000;49
Rhytidiopsis robusta (Hook.) Broth.;1674380655000;53
Symphyotrichum squamatum (Spreng.) G.L. Nesom;1673889712000;89
Nomaphila Blume;1653751465000;1
Stellaria ciliatosepala Trautv.;1663579737000;146
Perityle bisetosa (Torr. ex A. Gray) Shinners;1677616681000;42
Castilleja miniata Douglas ex Hook. ssp. miniata;1675935829000;66
Lepidium L.;1655360817000;123
Salix ×glatfelteri C.K. Schneid.;1669940741000;199
Sarea resinae (Fr.) Kuntze;1658185808000;111
Pseuderanthemum variabile (R. Br.) Radlk.;1681906762000;177
Epidendrum radicans Pav. ex Lindl.;1680358810000;165
Aspicilia subplicigera (H. Magn.) Oksner;1681658932000;16
Serissa Commerson ex A. Juss.;1670345354000;11
Senecio serra Hook. var. serra;1667840082000;141
Tillandsia borinquensis Cedeño-Mald. & Proctor;1651594664000;31
Allium vineale L.;1657652742000;120
Physconia perisidiosa (Erichsen) Moberg;1663922357000;158
Lupinus albifrons Benth. var. flumineus C.P. Sm.;1680712197000;94
Cryptantha nevadensis A. Nelson & Kennedy var. nevadensis;1657973711000;155
Larix gmelinii (Rupr.) Rupr.;1662742331000;150
Degelia Arv. & D.J. Galloway;1676343651000;180
Physaria saximontana Rollins var. saximontana;1671748288000;28
Aesculus ×neglecta Lindl. (pro sp.);1652021271000;193
Solidago patula Muhl. ex Willd. var. patula;1664790402000;88
Erigeron argentatus A. Gray;1651856551000;135
Lathyrus japonicus Willd. var. pubescens Hartm.;1669124304000;107
Pohlia atropurpurea (Wahlenb.) H. Lindb.;1681399848000;160
Leptogium saturninum (Dicks.) Nyl.;1664320196000;55
Plantago heterophylla Nutt.;1667610301000;173
Hylocomium Schimp.;1672258599000;67
Hedeoma plicata Torr.;1676985967000;184
Hyptis emoryi Torr.;1678586656000;47
Aliciella Brand;1671899312000;137
Galearis spectabilis (L.) Raf.;1651129460000;46
Piper angustifolium Lam.;1672460239000;90
Petalonyx nitidus S. Watson;1657991498000;178
Trisetum melicoides (Michx.) Vasey ex Scribn.;1652527182000;178
Anoda pentaschista A. Gray;1681442370000;77
Rhododendron canescens (Michx.) Sweet;1670653445000;7
Sadleria souleyetiana (Gaudich.) T. Moore;1658063889000;11
Adenostemma lavenia (L.) Kuntze;1657494559000;15
Clausena dentata (Willd.) M. Roem.;1657978179000;185
Linum subteres (Trel.) Winkl.;1672128124000;88
Psychotria hexandra H. Mann ssp. hexandra var. hirta Wawra;1658699254000;98
Hornungia procumbens (L.) Hayek;1673052513000;9
Malus ×platycarpa Rehder (pro sp.);1672714918000;153
Gentiana pennelliana Fernald;1679777602000;193
Myriotrema wightii (Taylor) Hale;1680318591000;4
Chrysoma pauciflosculosa (Michx.) Greene;1677881736000;72
Sclerocarya caffra Sonder;1668395555000;162
Parietaria hespera Hinton var. hespera;1677317952000;86
Tetraneuris acaulis (Pursh) Greene;1669850538000;63
Peperomia rotundifolia (L.) Kunth;1668954731000;114
Vitis riparia Michx.;1651007677000;14
Andropogon virginicus L. var. virginicus;1666995965000;155
Silene verecunda S. Watson ssp. platyota (S. Watson) C.L. Hitchc. & Maguire var. platyota (S. Watson) Jeps.;1657310901000;24
Astrolepis windhamii Benham;1666901523000;162
Bromus inermis Leyss. ssp. pumpellianus (Scribn.) Wagnon var. arcticus (Shear ex Scribn. & Merr.) Wagnon;1659324162000;20
Shepherdia Nutt.;1679219261000;192
Machaerina Vahl;1657121502000;50
Rosa sherardii Davies;1669706240000;148
Gunnera insignis Oerst.;1668710262000;189
Salix richardsonii Hook.;1680147400000;142
Cuscuta salina Engelm. var. salina;1681933851000;70
Mikania fragilis Urb.;1661667725000;128
Antirhea Comm. ex Juss.;1663070928000;66
Galium arkansanum A. Gray;1668223599000;136
Vernonia fasciculata Michx.;1652313593000;161
Luisierella Thér. & P. Varde;1676672568000;151
Stereocaulon glaucescens Tuck.;1673907455000;178
Prunus mexicana S. Watson;1669414267000;51
Platanthera dilatata (Pursh) Lindl. ex Beck var. albiflora (Cham.) Ledeb.;1663755206000;195
Schoenoplectiella mucronata (L.) J. Jung & H.K. Choi;1674678536000;139
Rhodiola integrifolia Raf.;1661972598000;22
Liatris cymosa (H. Ness) K. Schum.;1677079013000;196
Hieracium fendleri Sch. Bip.;1658401665000;97
Calamagrostis lapponica (Wahlenb.) Hartm.;1658829915000;5
Spondias mombin L.;1662713362000;146
Pinus banksiana Lamb.;1654141018000;112
Corallorhiza odontorhiza (Willd.) Poir. var. pringlei (Greenm.) Freudenstein;1673869171000;161
Fissidens neonii (E.B. Bartram) Grout;1665925447000;121
Agalinis aphylla (Nutt.) Raf.;1658216961000;77
Arctostaphylos tomentosa (Pursh) Lindl. ssp. bracteosa (DC.) J.E. Adams;1677266938000;70
Marah watsonii (Cogn.) Greene;1680537396000;186
Epidendrum magnoliae Muhl. var. magnoliae;1674192718000;29
